2012-01-12 07:23:49 UTC	1.8.7	56.6861324310303 MB	ruby 1.8.7 (2011-06-30 patchlevel 352) [i686-darwin10.8.0]
2012-01-12 07:37:07 UTC	1.8.7-head	56.8283195495605 MB	ruby 1.8.7 (2011-12-28 patchlevel 357) [i686-darwin10.8.0]
2012-01-12 07:44:23 UTC	1.9.2	79.7560863494873 MB	ruby 1.9.2p290 (2011-07-09 revision 32553) [x86_64-darwin10.8.0]
2012-01-12 08:01:22 UTC	1.9.2-head	83.03219318389893 MB	ruby 1.9.2p312 (2012-01-10 revision 34264) [x86_64-darwin10.8.0]
2012-01-12 08:09:30 UTC	1.9.3	82.63317012786865 MB	ruby 1.9.3p0 (2011-10-30 revision 33570) [x86_64-darwin10.8.0]
2012-01-12 08:24:39 UTC	1.9.3-head	79.55917930603027 MB	ruby 1.9.3p25 (2012-01-12 revision 34276) [x86_64-darwin10.8.0]
2012-01-12 08:32:43 UTC	jruby	196.281216621399 MB	jruby 1.6.5 (ruby-1.8.7-p330) (2011-10-25 9dcd388) (Java HotSpot(TM) 64-Bit Server VM 1.6.0_29) [darwin-x86_64-java]
2012-01-12 08:55:44 UTC	jruby-head	208.656998634338 MB	jruby 1.7.0.dev (ruby-1.8.7-p357) (2012-01-12 0e83d96) (Java HotSpot(TM) 64-Bit Server VM 1.6.0_29) [darwin-x86_64-java]
2012-01-12 09:28:47 UTC	rbx-head	193.88261699676514 MB	rubinius 2.0.0dev (1.8.7 963c7c2c yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2012-01-13 07:27:48 UTC	1.8.7	56.6208658218384 MB	ruby 1.8.7 (2011-06-30 patchlevel 352) [i686-darwin10.8.0]
2012-01-13 07:41:01 UTC	1.8.7-head	56.5765943527222 MB	ruby 1.8.7 (2011-12-28 patchlevel 357) [i686-darwin10.8.0]
2012-01-13 07:48:18 UTC	1.9.2	80.24127578735352 MB	ruby 1.9.2p290 (2011-07-09 revision 32553) [x86_64-darwin10.8.0]
2012-01-13 08:05:15 UTC	1.9.2-head	83.58981037139893 MB	ruby 1.9.2p312 (2012-01-10 revision 34264) [x86_64-darwin10.8.0]
2012-01-13 08:13:23 UTC	1.9.3	79.7166337966919 MB	ruby 1.9.3p0 (2011-10-30 revision 33570) [x86_64-darwin10.8.0]
2012-01-13 08:28:40 UTC	1.9.3-head	85.73352813720703 MB	ruby 1.9.3p27 (2012-01-13 revision 34290) [x86_64-darwin10.8.0]
2012-01-13 08:36:47 UTC	jruby	197.938020706177 MB	jruby 1.6.5 (ruby-1.8.7-p330) (2011-10-25 9dcd388) (Java HotSpot(TM) 64-Bit Server VM 1.6.0_29) [darwin-x86_64-java]
2012-01-14 07:24:52 UTC	1.8.7	56.7513233820597 MB	ruby 1.8.7 (2011-06-30 patchlevel 352) [i686-darwin10.8.0]
2012-01-14 07:38:40 UTC	1.8.7-head	56.5495219230652 MB	ruby 1.8.7 (2011-12-28 patchlevel 357) [i686-darwin10.8.0]
2012-01-14 07:47:01 UTC	1.9.2	83.95221312840779 MB	ruby 1.9.2p290 (2011-07-09 revision 32553) [x86_64-darwin10.8.0]
2012-01-14 08:04:04 UTC	1.9.2-head	85.14874076843262 MB	ruby 1.9.2p312 (2012-01-10 revision 34264) [x86_64-darwin10.8.0]
2012-01-14 08:12:36 UTC	1.9.3	80.05865828196208 MB	ruby 1.9.3p0 (2011-10-30 revision 33570) [x86_64-darwin10.8.0]
2012-01-14 08:28:25 UTC	1.9.3-head	83.47988239924113 MB	ruby 1.9.3p27 (2012-01-13 revision 34290) [x86_64-darwin10.8.0]
2012-01-14 08:39:12 UTC	jruby	194.029752254486 MB	jruby 1.6.5 (ruby-1.8.7-p330) (2011-10-25 9dcd388) (Java HotSpot(TM) 64-Bit Server VM 1.6.0_29) [darwin-x86_64-java]
2012-01-14 09:03:05 UTC	jruby-head	207.03075059255 MB	jruby 1.7.0.dev (ruby-1.8.7-p357) (2012-01-14 8368b24) (Java HotSpot(TM) 64-Bit Server VM 1.6.0_29) [darwin-x86_64-java]
